#,Company,Symbol,Portfolio%,Price,Chg,% Chg,
74,Keurig Dr Pepper Inc,KDP,0.28%,32.37,-0.03,(-0.09%),
75,Fastenal Co,FAST,0.27%,74.82,0.79,(1.07%),
76,Atlassian Corp,TEAM,0.26%,257.26,6.03,(2.40%),
77,Baker Hughes Co,BKR,0.25%,40.32,0.52,(1.31%),
78,Cognizant Technology Solutions Corp,CTSH,0.25%,79.23,-0.26,(-0.33%),
79,Verisk Analytics Inc,VRSK,0.25%,276.86,1.28,(0.46%),
80,Electronic Arts Inc,EA,0.24%,147.80,-0.09,(-0.06%),
81,Old Dominion Freight Line Inc,ODFL,0.24%,181.37,-6.37,(-3.39%),
82,Xcel Energy Inc,XEL,0.24%,67.40,0.75,(1.13%),
83,AstraZeneca PLC ADR,AZN,0.24%,65.35,0.91,(1.41%),
84,Exelon Corp,EXC,0.23%,37.02,-0.17,(-0.46%),
85,Kraft Heinz Co/The,KHC,0.23%,30.52,0.42,(1.40%),
86,GE HealthCare Technologies Inc,GEHC,0.23%,78.91,1.48,(1.91%),
87,Coca-Cola Europacific Partners PLC,CCEP,0.22%,75.17,0.46,(0.62%),
88,IDEXX Laboratories Inc,IDXX,0.21%,412.26,3.23,(0.79%),
89,Take-Two Interactive Software Inc,TTWO,0.20%,181.97,0.59,(0.33%),
90,Dexcom Inc,DXCM,0.20%,80.04,4.22,(5.57%),
91,Microchip Technology Inc,MCHP,0.19%,55.51,-0.48,(-0.86%),
92,ANSYS Inc,ANSS,0.19%,338.38,3.90,(1.17%),
93,CoStar Group Inc,CSGP,0.18%,71.44,1.60,(2.29%),
94,Zscaler Inc,ZS,0.18%,187.38,4.17,(2.28%),
95,ON Semiconductor Corp,ON,0.17%,65.50,0.70,(1.08%),
96,Warner Bros Discovery Inc,WBD,0.17%,10.69,0.20,(1.91%),
97,CDW Corp/DE,CDW,0.15%,174.53,1.25,(0.72%),
98,GLOBALFOUNDRIES Inc,GFS,0.15%,41.72,0.42,(1.02%),
99,Biogen Inc,BIIB,0.13%,146.47,-0.92,(-0.62%),
100,MongoDB Inc,MDB,0.11%,245.63,0.63,(0.26%),
101,ARM Holdings PLC ADR,ARM,0.11%,132.15,0.05,(0.04%),
