#,Company,Symbol,Weight,Price,Chg,% Chg
363,Western Digital Corp.,WDC,0.04%,60.24,0.62,(1.04%)
364,"Leidos Holdings, Inc.",LDOS,0.04%,144.81,1.61,(1.12%)
365,Devon Energy Corporation,DVN,0.04%,30.77,0.25,(0.82%)
366,Labcorp Holdings Inc.,LH,0.04%,228.61,1.64,(0.72%)
367,"Citizens Financial Group, Inc.",CFG,0.04%,43.45,1.00,(2.36%)
368,Lyondellbasell Industries N.v. Class A,LYB,0.04%,73.50,0.53,(0.73%)
369,"First Solar, Inc.",FSLR,0.04%,182.39,6.51,(3.70%)
370,International Paper Co.,IP,0.04%,54.45,0.61,(1.13%)
371,Factset Research Systems,FDS,0.04%,483.52,-6.21,(-1.27%)
372,"Nrg Energy, Inc.",NRG,0.04%,90.45,1.20,(1.34%)
373,Seagate Technology Holdings Plcs,STX,0.04%,87.31,-0.23,(-0.26%)
374,"The Cooper Companies, Inc.",COO,0.04%,93.44,1.51,(1.64%)
375,Las Vegas Sands Corp.,LVS,0.04%,52.25,0.97,(1.89%)
376,Invitation Homes Inc.,INVH,0.04%,32.14,0.42,(1.32%)
377,Insulet Corporation,PODD,0.04%,266.57,10.01,(3.90%)
378,"Essex Property Trust, Inc",ESS,0.04%,283.76,4.75,(1.70%)
379,Snap-on Incorporated,SNA,0.04%,343.65,5.98,(1.77%)
380,Coterra Energy Inc.,CTRA,0.04%,23.68,0.01,(0.04%)
381,"Mid-America Apartment Communities, Inc.",MAA,0.04%,153.40,3.97,(2.66%)
382,W.R. Berkley Corporation,WRB,0.04%,58.57,0.54,(0.93%)
383,The Estee Lauder Companies Inc. Class A,EL,0.04%,74.36,-0.34,(-0.46%)
384,Trimble Inc.,TRMB,0.03%,71.64,0.90,(1.27%)
385,"Molina Healthcare, Inc.",MOH,0.03%,294.73,1.21,(0.41%)
386,Omnicom Group Inc.,OMC,0.03%,88.86,0.97,(1.10%)
387,"Builders Firstsource, Inc.",BLDR,0.03%,150.50,4.21,(2.88%)
388,Quest Diagnostics Inc.,DGX,0.03%,153.10,1.58,(1.04%)
389,Ball Corporation,BALL,0.03%,55.80,0.44,(0.79%)
390,Jacobs Solutions Inc.,J,0.03%,135.75,1.69,(1.26%)
391,"Best Buy Company, Inc.",BBY,0.03%,85.55,0.35,(0.41%)
392,Pentair Plc,PNR,0.03%,101.95,0.97,(0.96%)
393,"Tyson Foods, Inc.",TSN,0.03%,58.02,-0.18,(-0.31%)
394,Steel Dynamics Inc,STLD,0.03%,115.69,0.40,(0.35%)
395,Hologic Inc,HOLX,0.03%,71.65,0.89,(1.26%)
396,Dollar General Corp.,DG,0.03%,76.40,2.51,(3.40%)
397,Verisign Inc,VRSN,0.03%,198.84,5.40,(2.79%)
398,Nisource Inc.,NI,0.03%,36.17,0.30,(0.84%)
399,"Principal Financial Group, Inc.",PFG,0.03%,77.30,2.12,(2.82%)
400,Genuine Parts Company,GPC,0.03%,115.73,1.11,(0.97%)
401,Jabil Inc.,JBL,0.03%,145.00,4.56,(3.25%)
402,Idex Corporation,IEX,0.03%,212.38,2.12,(1.01%)
403,"Expeditors International of Washington, Inc.",EXPD,0.03%,111.48,-1.26,(-1.12%)
404,Masco Corporation,MAS,0.03%,74.39,1.70,(2.34%)
405,"Super Micro Computer, Inc.",SMCI,0.03%,31.59,0.35,(1.12%)
406,Keycorp,KEY,0.03%,17.09,0.28,(1.67%)
407,Kimco Realty Corp.,KIM,0.03%,23.42,0.41,(1.78%)
408,Aptiv Plc,APTV,0.03%,58.86,1.85,(3.25%)
409,"Alexandria Real Estate Equities, Inc.",ARE,0.03%,99.17,1.88,(1.93%)
410,"Everest Group, Ltd.",EG,0.03%,356.64,7.28,(2.08%)
411,"Cf Industries Holding, Inc.",CF,0.03%,84.98,1.16,(1.38%)
412,Avery Dennison Corp.,AVY,0.03%,188.13,1.87,(1.00%)
413,Align Technology Inc,ALGN,0.03%,211.06,-2.52,(-1.18%)
414,Domino's Pizza Inc.,DPZ,0.03%,426.18,-1.46,(-0.34%)
415,Alliant Energy Corporation,LNT,0.03%,58.95,0.69,(1.18%)
416,Loews Corporation,L,0.03%,83.19,1.53,(1.87%)
417,Gen Digital Inc.,GEN,0.03%,27.83,0.38,(1.38%)
418,Baxter International Inc.,BAX,0.03%,29.50,0.60,(2.08%)
419,"F5, Inc.",FFIV,0.03%,252.25,1.84,(0.73%)
420,Viatris Inc.,VTRS,0.03%,12.52,0.39,(3.22%)
421,"Tapestry, Inc.",TPR,0.03%,64.15,1.49,(2.38%)
422,Akamai Technologies Inc,AKAM,0.03%,95.89,1.31,(1.39%)
423,"Textron, Inc.",TXT,0.03%,76.85,1.03,(1.36%)
424,Skyworks Solutions Inc,SWKS,0.03%,88.75,0.49,(0.56%)
425,"Epam Systems, Inc.",EPAM,0.03%,248.26,1.46,(0.59%)
426,Dollar Tree Inc.,DLTR,0.03%,72.94,3.88,(5.62%)
427,"Evergy, Inc.",EVRG,0.03%,61.43,0.90,(1.49%)
428,"Healthpeak Properties, Inc.",DOC,0.03%,20.12,0.36,(1.82%)
429,"Revvity, Inc.",RVTY,0.03%,112.56,2.02,(1.83%)
430,Amcor Plcs,AMCR,0.03%,9.40,0.00,(0.00%)
431,Jb Hunt Transport Services Inc,JBHT,0.03%,170.23,2.13,(1.27%)
432,"Moderna, Inc.",MRNA,0.03%,39.39,-0.17,(-0.43%)
433,"Rollins, Inc.",ROL,0.03%,46.92,-0.09,(-0.19%)
434,Carmax Inc.,KMX,0.03%,84.27,0.04,(0.05%)
435,Pool Corporation,POOL,0.03%,349.04,8.10,(2.38%)
436,"Conagra Brands, Inc.",CAG,0.03%,27.11,0.30,(1.12%)
437,Henry (Jack) & Associates,JKHY,0.03%,176.74,0.75,(0.43%)
438,"Udr, Inc.",UDR,0.03%,43.46,1.04,(2.45%)
439,"Host Hotels & Resorts, Inc.",HST,0.02%,18.20,0.57,(3.23%)
440,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,104.34,-0.66,(-0.63%)
441,"Stanley Black & Decker, Inc.",SWK,0.02%,82.00,2.57,(3.24%)
442,Juniper Networks Inc,JNPR,0.02%,37.24,0.24,(0.65%)
443,Camden Property Trust,CPT,0.02%,114.91,2.39,(2.12%)
444,Regency Centers Corporation,REG,0.02%,73.80,1.38,(1.91%)
445,"Dayforce, Inc.",DAY,0.02%,74.84,0.84,(1.14%)
446,The J.M. Smucker Company,SJM,0.02%,109.89,0.92,(0.84%)
447,Allegion Public Limited Company,ALLE,0.02%,132.18,1.55,(1.19%)
448,Nordson Corp,NDSN,0.02%,209.73,0.79,(0.38%)
449,Bio-Techne Corp.,TECH,0.02%,73.17,1.78,(2.49%)
450,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,26.91,1.50,(5.90%)
451,Bunge Global Sa,BG,0.02%,79.10,1.18,(1.51%)
452,Fox Corporation Class A,FOXA,0.02%,49.53,0.69,(1.41%)
453,"Assurant, Inc.",AIZ,0.02%,212.27,3.83,(1.84%)
454,"The Interpublic Group of Companies, Inc.",IPG,0.02%,29.07,0.44,(1.54%)
455,Incyte Genomics Inc,INCY,0.02%,68.84,1.78,(2.65%)
456,"Bxp, Inc.",BXP,0.02%,74.64,1.31,(1.79%)
457,Eastman Chemical Company,EMN,0.02%,91.76,1.73,(1.92%)
458,"Universal Health Services, Inc. Class B",UHS,0.02%,180.11,4.31,(2.45%)
459,Albemarle Corporation,ALB,0.02%,88.65,-0.27,(-0.30%)
460,News Corporation Class A,NWSA,0.02%,27.86,0.25,(0.91%)
461,Molson Coors Beverage Company Class B,TAP,0.02%,59.34,0.69,(1.18%)
462,Erie Indemnity Co,ERIE,0.02%,416.48,8.10,(1.98%)
463,"Paycom Software, Inc.",PAYC,0.02%,207.23,0.24,(0.12%)
464,Pinnacle West Capital Corporation,PNW,0.02%,84.96,0.36,(0.43%)
465,Globe Life Inc.,GL,0.02%,109.39,3.48,(3.29%)
466,Lkq Corporation,LKQ,0.02%,36.88,0.88,(2.44%)
467,"Charles River Laboratories International, Inc.",CRL,0.02%,185.77,3.62,(1.99%)
468,Generac Holdings Inc,GNRC,0.02%,156.26,0.14,(0.09%)
469,Solventum Corporation,SOLV,0.02%,66.83,0.03,(0.04%)
470,Hormel Foods Corporation,HRL,0.02%,31.68,0.10,(0.32%)
471,"Lamb Weston Holdings, Inc.",LW,0.02%,62.09,-0.41,(-0.66%)
472,Ralph Lauren Corporation,RL,0.02%,230.28,7.82,(3.52%)
473,"Enphase Energy, Inc.",ENPH,0.02%,71.45,5.65,(8.59%)
474,Aes Corporation,AES,0.02%,13.00,0.56,(4.50%)
475,Henry Schein Inc,HSIC,0.02%,69.82,0.87,(1.26%)
476,Marketaxess Holdings Inc.,MKTX,0.02%,230.15,1.64,(0.72%)
477,Wynn Resorts Ltd,WYNN,0.02%,88.95,0.64,(0.72%)
478,Federal Realty Investment Trust,FRT,0.02%,111.92,2.37,(2.16%)
479,Teleflex Incorporated,TFX,0.02%,178.16,3.37,(1.93%)
480,A.O. Smith Corporation,AOS,0.02%,68.72,0.28,(0.41%)
481,The Campbell's Company,CPB,0.02%,41.50,-0.08,(-0.19%)
482,"Match Group, Inc",MTCH,0.02%,33.76,2.12,(6.70%)
483,Mgm Resorts International,MGM,0.02%,34.16,0.72,(2.15%)
484,The Mosaic Company,MOS,0.02%,24.07,0.19,(0.80%)
485,Brown-Forman Corporation Class B,BF.B,0.02%,41.28,-0.08,(-0.19%)
486,Apa Corporation,APA,0.02%,21.04,0.56,(2.73%)
487,Invesco Ltd,IVZ,0.02%,17.33,0.55,(3.28%)
488,"Hasbro, Inc.",HAS,0.01%,57.58,1.07,(1.89%)
489,"Huntington Ingalls Industries, Inc.",HII,0.01%,190.45,2.84,(1.51%)
490,Celanese Corporation,CE,0.01%,68.25,1.22,(1.82%)
491,Borgwarner Inc.,BWA,0.01%,31.88,0.40,(1.27%)
492,"Caesars Entertainment, Inc.",CZR,0.01%,32.82,-0.25,(-0.76%)
493,Davita Inc.,DVA,0.01%,151.85,4.31,(2.92%)
494,"Walgreens Boots Alliance, Inc",WBA,0.01%,9.55,0.20,(2.14%)
495,"Qorvo, Inc.",QRVO,0.01%,70.85,2.05,(2.98%)
496,Paramount Global Class B,PARA,0.01%,10.66,0.08,(0.76%)
497,"Franklin Resources, Inc.",BEN,0.01%,20.49,0.52,(2.60%)
498,"Mohawk Industries, Inc.",MHK,0.01%,119.16,2.34,(2.00%)
499,Fox Corporation Class B,FOX,0.01%,46.65,0.68,(1.48%)
500,Fmc Corporation,FMC,0.01%,50.15,2.29,(4.78%)
501,News Corporation Class B,NWS,0.01%,30.70,0.24,(0.79%)
502,"Amentum Holdings, Inc.",AMTM,0.00%,19.17,0.24,(1.27%)
