#,Company,Symbol,Weight,Price,Chg,% Chg
85,The Charles Schwab Corporation,SCHW,0.22%,74.31,0.69,(0.94%)
86,Deere & Company,DE,0.22%,432.49,5.86,(1.37%)
87,"T-Mobile Us, Inc.",TMUS,0.21%,220.31,2.31,(1.06%)
88,"Marsh & Mclennan Companies, Inc.",MMC,0.21%,211.74,1.39,(0.66%)
89,"Analog Devices, Inc.",ADI,0.21%,211.78,4.00,(1.93%)
90,Medtronic Plc,MDT,0.21%,81.03,1.04,(1.30%)
91,Chubb Limited,CB,0.21%,273.20,0.04,(0.01%)
92,Vertex Pharmaceuticals Inc,VRTX,0.21%,397.27,0.63,(0.16%)
93,Lockheed Martin Corp.,LMT,0.20%,489.02,9.36,(1.95%)
94,Starbucks Corp,SBUX,0.20%,87.97,-0.79,(-0.89%)
95,Kkr & Co. Inc.,KKR,0.19%,147.58,4.05,(2.82%)
96,"Micron Technology, Inc.",MU,0.19%,90.12,3.03,(3.48%)
97,"Prologis, Inc.",PLD,0.19%,103.32,1.92,(1.89%)
98,Lam Research Corp,LRCX,0.19%,71.79,0.58,(0.81%)
99,"Nike, Inc.",NKE,0.19%,76.94,-0.16,(-0.21%)
100,Ge Vernova Inc.,GEV,0.18%,342.66,9.86,(2.96%)
101,"Altria Group, Inc.",MO,0.18%,53.84,0.85,(1.60%)
102,"United Parcel Service, Inc. Class B",UPS,0.18%,125.68,3.03,(2.47%)
103,The Southern Company,SO,0.18%,82.86,1.08,(1.32%)
104,"Paypal Holdings, Inc.",PYPL,0.18%,87.13,0.35,(0.40%)
105,"Equinix, Inc. Reit",EQIX,0.18%,927.22,5.65,(0.61%)
106,Cme Group Inc.,CME,0.17%,238.53,1.71,(0.72%)
107,Intercontinental Exchange  Inc.,ICE,0.17%,150.31,2.02,(1.36%)
108,Trane Technologies Plc,TT,0.17%,377.11,0.21,(0.06%)
109,"Elevance Health, Inc.",ELV,0.17%,365.96,-0.52,(-0.14%)
110,"Chipotle Mexican Grill, Inc.",CMG,0.17%,61.87,0.13,(0.21%)
111,Amphenol Corporation,APH,0.17%,70.58,0.57,(0.81%)
112,American Tower Corporation,AMT,0.17%,183.73,4.33,(2.41%)
113,Kla Corporation,KLAC,0.17%,629.37,7.19,(1.16%)
114,Duke Energy Corporation,DUK,0.17%,108.28,1.20,(1.12%)
115,Parker-Hannifin Corporation,PH,0.16%,647.20,7.93,(1.24%)
116,Cadence Design Systems,CDNS,0.16%,301.47,1.60,(0.53%)
117,Intel Corp,INTC,0.16%,19.52,0.46,(2.41%)
